text	question	true_1	true_2	true_3	true_4	true_5	false_1	false_2	false_3	false_4	false_5
Экспансия коммерческой литературы сужает круг потенциальных читателей, которых в России осталось не так уж много. Казалось бы, что за беда? Читают — и пусть себе. Всё лучше, чем пьянствовать. Но не так-то всё просто. Есть книги, без которых можно спокойно прожить. Есть телевизор, есть газеты, есть компьютерные стрелялки. А есть книги, без которых жить трудно. И если в юности не попалась книга, перепахавшая душу, читатель для литературы потерян. Он будет жевать литературный попкорн в полной уверенности, что читает книгу, не подозревая о том, что она всего лишь похожа на книгу, а к животворной литературе никакого отношения не имеет. И таких читателей становится всё больше. Но неужели всё так безнадёжно? Неужели читателю, любящему живую книгу, остаётся утешаться нетленной классикой? К счастью, нет. Поразительная закономерность. Живая книга чудом пробивается к читателю. И диктат рынка ей не слишком большая помеха. (По В. Иванову).	О чём идёт речь в начале текста?	Речи идёт о книгах, без которых не возможно жить.	В тексте повествуется про важные книги.	В содержании текста акцентируется внимание на важности определенных книг.	Тема обсуждения - это издания, без присутствия которых существование представляется невыносимым.	Здесь мы говорим о литературе, без которой жизнь кажется невозможной.	Речь идёт о фильмах ужасов.	В тексте идёт речь про музыку.	Речь идёт о мультиках про природу.	Обсуждаем тему хоррор-фильмов.	Тема связана с анимационными фильмами, посвящёнными природе.
Экспансия коммерческой литературы сужает круг потенциальных читателей, которых в России осталось не так уж много. Казалось бы, что за беда? Читают — и пусть себе. Всё лучше, чем пьянствовать. Но не так-то всё просто. Есть книги, без которых можно спокойно прожить. Есть телевизор, есть газеты, есть компьютерные стрелялки. А есть книги, без которых жить трудно. И если в юности не попалась книга, перепахавшая душу, читатель для литературы потерян. Он будет жевать литературный попкорн в полной уверенности, что читает книгу, не подозревая о том, что она всего лишь похожа на книгу, а к животворной литературе никакого отношения не имеет. И таких читателей становится всё больше. Но неужели всё так безнадёжно? Неужели читателю, любящему живую книгу, остаётся утешаться нетленной классикой? К счастью, нет. Поразительная закономерность. Живая книга чудом пробивается к читателю. И диктат рынка ей не слишком большая помеха. (По В. Иванову).	Какая метафора используется в тексте?	Он будет жевать литературный попкорн в полной уверенности, что читает книгу, не подозревая о том, что она всего лишь похожа на книгу.	Эта метафора - литературный попкорн.	Этот образ можно сравнить с попкорном в литературе.	Данная метафора аналогична литературному попкорну.	Эта выразительная фигура подобна попкорну в мире литературы.	Тише едешь, дальше будешь, как закат.	Читая книгу, как сова в ночи, без пауз, учишься видеть и во тьме.	Метафора корабля, несущего читателя к сокровищнице знаний по морю открытий.	Чем медленнее двигаешься, тем больше достигнешь, подобно заходу солнца.	Обучаясь чтению подобно ночной сове, без единой паузы, ты научишься рассматривать окружающий мир, даже когда он погружен во тьму.
"""Британский актер и писатель Стивен Фрай объявил победителя в конкурсе самых прекрасных (most beautiful) записей в Twitter, организованном в рамках фестиваля литературы и искусств ""Хэй"", передает BBC News. Запись-победитель звучит так: ""Думаю, мы можем построить лучший мир! Конечно, понадобится много камня, воды и грязи. Однако я не понимаю, куда это все пристроить"". Автор записи, канадец Марк Маккензи, был приятно удивлён, когда ему сообщили о победе. Всего Маккензи отправил на конкурс 35 записей, которыми по-настоящему гордился. Маккензи не впервые участвовал в подобных мероприятиях. Ранее он вошёл в шортлист национального канадского конкурса на лучшую запись в Twitter. В крупнейший микроблогерский сервис, насчитывающий свыше 100 миллионов пользователей, канадец попал после того, как друзья по Facebook сказали ему о том, что им нравятся его сообщения о статусе. Стивен Фрай - один из самых популярных пользователей Twitter. На обновления его микроблога подписано свыше полутора миллионов человек."""	О чём сказано в записи победителя?	Он уверен, что у людей есть всё, чтобы сделать мир лучше. Но он не знает, как всё это применить.	Он верит, что мы можем построить лучший мир, но не знает, как.	Его уверенность в том, что существует способ улучшить мир остается неизменной, но конкретный план действий ему неизвестен.	Он убежден в возможности создать более совершенный мир, однако пути к этому он не видит.	Он держится веры в то, что наши усилия могут привести к созданию более доброго мира, но методику осуществления не осмыслил.	Он думает, что люди могут изменить мир, если дать им хорошенько выспаться.	Он думает, что людям вполне по силам испортить мир, если они хорошенько постараются.	Он верит, что мир станет лучше, но для этого не хватает грязи.	По его мнению, для того чтобы люди смогли преобразить мир, им просто нужно получить достаточно сна.	По его мнению, мир способен стать лучше, но для этого процесса отсутствует необходимый компонент - грязь.
Ещё недавно Векшин был, как говорили, чуть ли не комиссаром небольшой кавалерийской части. Возвышение его прервал один случай: Векшин покалечил безоружного пленного мальчишку-поручика, вслед за тем впал в запой, и секретарь полковой ячейки Арташез был вынужден написать на лучшего друга рапорт в политотдел дивизии. Векшина отстранили от должности и исключили из партии. Когда гражданская закончилась, Векшин прибыл в столицу. На приманки нэпа он смотрел с презрением укротителя. Как вдруг пустячная уличная сценка с нэпманшей — на входе в шикарный гастроном разодетая дамочка хлопнула его по руке, ошибочно полагая, что Вершин рвётся войти перед ней, — уничтожила его уверенность победителя. К ночи Векшин напился в гадкой трущобе, а вскоре стал корешем шайки. Он пытался уверить себя, что партизанит против старого мира. Вдвоём с мастером «поездухи» Василием Васильевичем они украли чемодан у соседки по купе. В нем оказались женские тряпки, цирковая снасть и фотография. По ней-то Митя и понял, что обокрал родную сестру Татьянку, в детстве ещё убежавшую из дому и ставшую теперь знаменитой воздушной акробаткой Гелой Вельтон. Все это установил сочинитель Фирсов.	Что украл Векшин в купе?	Векшин вдвоём с мастером «поездухи» Василием Васильевичем украл чемодан с женскими тряпками.	Будучи в купе поезда, Векшин вместе с о своим товарищем Василием украл чемодан с женскими тряпками.	"Совместными усилиями, Векшин и Василий Васильевич, известный как мастер ""поездухи"", осуществили кражу чемодана, заставленного одеждой для женщин."	Во время поездки в купе, Векшин и его друг Василий совершили кражу чемодана, в котором находились женские одежды.	"В сотрудничестве с мастером ""поездухи"", Василием Васильевичем, Векшин присвоил ранее крабовный портфель с одеяниями женского гардероба."	Векшин вдвоём с мастером «поездухи» Василием Васильевичем украл чемодан с обувью.	Векшин вдвоём с мастером «поездухи» Василием Васильевичем украл сумку с косметикой.	Будучи в купе поезда, Векшин вместе с о своим товарищем Василием украл чемодан с атомной бомбой.	Василий Васильевич и Векшин, работая в паре, присвоили себе чемодан, в котором была обувь.	Во время поездки на поезде, Векшин в компании своего приятеля Василия осуществил хищение саквояжа, в котором находилась атомная бомба.
Федеральная антимонопольная служба (ФАС) планирует сделать одинаковой цену на авиабилеты на равные расстояния. Об этом в интервью РБК заявил глава ведомства Игорь Артемьев. В ФАС считают недопустимым, что стоимость перелёта из Москвы в Астану может быть дороже, чем перелёт из столицы в Нью-Йорк, осуществляемый той же авиакомпанией. По словам Артемьева, на совещании у первого вице-премьера Игоря Шувалова была достигнута договоренность о том, что служба составит сравнительные таблицы стоимости перелётов на одинаковое расстояние в один и тот же сезон в Европе и в России. Инициатива службы вызвала резкую критику у авиаперевозчиков. Так, источник, близкий к «Аэрофлоту», считает некорректным предложение ФАС. В цену авиабилетов, в частности, входит стоимость топлива, расходы на обслуживание в аэропортах и обслуживание самолётов. При этом как в разных странах, так и в разных районах России эти затраты могут иметь значительные различия. Например, для поддержания аэропортов, находящихся в северных регионах, требуется закупка снегоуборочной техники, что повышает стоимость их содержания. Кроме того, на внутрироссийские рейсы установлен налог в 18 процентов, что также влияет на конечную стоимость билетов. Представитель «Трансаэро» также отметил, что цена зависит и от загруженности рейсов. «Никто из авиакомпаний не хочет летать себе в убыток. Если мы чувствуем, что билеты слишком дороги для покупателей, мы начинаем распродажи», — отметил он.	О чём заявил в интервью РБК глава ведомства ФАС?	О цене на билеты на самолеты.	О том, что планируется сделать одинаковую цену на авиабилеты на одинаковые расстояния.	Об стоимости авиабилетов.	Появилась информация о намерениях ввести единую стоимость для авиабилетов, когда дистанция путешествия одинакова.	Было объявлено о планах установить идентичные тарифы на авиаперелеты, преодолевающие одинаковое количество километров.	Что отменят рейсы в Италию.	О том, что не будут подавать алкоголь на борту.	Авиасообщение с Италией будет прекращено.	О прекращении подачи алкогольных напитков во время полёта.	Об отсутствии алкоголя в меню бортового обслуживания.
Федеральная антимонопольная служба (ФАС) планирует сделать одинаковой цену на авиабилеты на равные расстояния. Об этом в интервью РБК заявил глава ведомства Игорь Артемьев. В ФАС считают недопустимым, что стоимость перелёта из Москвы в Астану может быть дороже, чем перелёт из столицы в Нью-Йорк, осуществляемый той же авиакомпанией. По словам Артемьева, на совещании у первого вице-премьера Игоря Шувалова была достигнута договоренность о том, что служба составит сравнительные таблицы стоимости перелётов на одинаковое расстояние в один и тот же сезон в Европе и в России. Инициатива службы вызвала резкую критику у авиаперевозчиков. Так, источник, близкий к «Аэрофлоту», считает некорректным предложение ФАС. В цену авиабилетов, в частности, входит стоимость топлива, расходы на обслуживание в аэропортах и обслуживание самолётов. При этом как в разных странах, так и в разных районах России эти затраты могут иметь значительные различия. Например, для поддержания аэропортов, находящихся в северных регионах, требуется закупка снегоуборочной техники, что повышает стоимость их содержания. Кроме того, на внутрироссийские рейсы установлен налог в 18 процентов, что также влияет на конечную стоимость билетов. Представитель «Трансаэро» также отметил, что цена зависит и от загруженности рейсов. «Никто из авиакомпаний не хочет летать себе в убыток. Если мы чувствуем, что билеты слишком дороги для покупателей, мы начинаем распродажи», — отметил он.	Почему, источник близкий к Аэрофлоту считает некорректным предложение ФАС и вызвало резкую критику у авиаперевозчиков?	Потому что, есть различия в затратах на топливо.	Различия в налогах и обслуживании аэропортов.	Ввиду того, что затраты на топливо не одинаковы.	Причиной являются различные затраты на топливо.	Разнообразие налоговых ставок и уровня обслуживания в аэропортах.	Аэрофлот хочет продавать дорогие билеты.	Авиаперевозчики не хотят понижать цены.	Авиаперевозчик Аэрофлот планирует внедрение продажи билетов по более высокой стоимости.	Компании, занимающиеся авиаперевозками, не желают сокращать ценники на свои услуги.	Перевозчики на воздушном транспорте отказываются уменьшать цены.
Федеральная антимонопольная служба (ФАС) планирует сделать одинаковой цену на авиабилеты на равные расстояния. Об этом в интервью РБК заявил глава ведомства Игорь Артемьев. В ФАС считают недопустимым, что стоимость перелёта из Москвы в Астану может быть дороже, чем перелёт из столицы в Нью-Йорк, осуществляемый той же авиакомпанией. По словам Артемьева, на совещании у первого вице-премьера Игоря Шувалова была достигнута договоренность о том, что служба составит сравнительные таблицы стоимости перелётов на одинаковое расстояние в один и тот же сезон в Европе и в России. Инициатива службы вызвала резкую критику у авиаперевозчиков. Так, источник, близкий к «Аэрофлоту», считает некорректным предложение ФАС. В цену авиабилетов, в частности, входит стоимость топлива, расходы на обслуживание в аэропортах и обслуживание самолётов. При этом как в разных странах, так и в разных районах России эти затраты могут иметь значительные различия. Например, для поддержания аэропортов, находящихся в северных регионах, требуется закупка снегоуборочной техники, что повышает стоимость их содержания. Кроме того, на внутрироссийские рейсы установлен налог в 18 процентов, что также влияет на конечную стоимость билетов. Представитель «Трансаэро» также отметил, что цена зависит и от загруженности рейсов. «Никто из авиакомпаний не хочет летать себе в убыток. Если мы чувствуем, что билеты слишком дороги для покупателей, мы начинаем распродажи», — отметил он.	Почему источник, близкий к Аэрофлоту, считает некорректным предложение ФАС, а авиаперевозчики резко критикуют всю эту идею?	Потому что есть различия в затратах на топливо.	Есть различия в налогах и обслуживании аэропортов.	В сфере аэропортового обслуживания и налогообложения наблюдаются отличия.	Основание - вариации в стоимости топлива.	Налоги и услуги аэропортов различаются.	Аэрофлот хочет продавать дорогие билеты.	Авиаперевозчики не хотят понижать цены.	Снижение тарифов на авиабилеты не находит поддержки у авиаоператоров.	Уменьшение цен на перелеты не входит в планы авиаперевозчиков.	Аэрофлот стремится к реализации билетов по повышенным ценам.
"Заинтригованная Ник принимает у себя Пуаро и Гастингса. Эндхауз оказывается угрюмым, старым, требующим ремонта домом. Пуаро показывает Ник найденную им в парке пулю, и это заставляет её поверить, что на её жизнь кто-то покушается. По просьбе Пуаро Ник перечисляет все неприятности, случившиеся с ней в последнее время: упала висевшая над её кроватью картина в тяжёлой раме; когда она спускалась по тропинке к морю, её чуть не убило сорвавшимся валуном; у автомобиля отказали тормоза. Гости узнают, что имя, точнее, прозвище девушка получила в честь деда, Старого Ника. Настоящее её имя — Магдала, оно часто встречается в семье Бакли. В конце беседы, узнав, что в неё стреляли из маузера, Ник ищет оружие, доставшееся ей от отца, но не находит. Это заставляет её серьёзнее отнестись к предостережениям Пуаро. По просьбе сыщика Ник рассказывает о своём ближайшем окружении. Кроме друзей, это служанка Эллен, её муж-садовник, их ребёнок и супружеская пара Крофтов из Австралии, которым она сдаёт флигель. Ещё у Ник есть кузен Чарлз Вайс, местный адвокат."	Кто входит в ближайшее окружение Ник?	Ещё у Ник есть кузен Чарлз Вайс, местный адвокат.	Служанка Эллен, её муж-садовник, их ребёнок и супружеская пара Крофтов из Австралии, которым она сдаёт флигель.	Кроме того, Ник считает своим кузеном местного юриста Чарлза Вайса.	Семья, включающая в себя служанку Эллен, её мужа, выполняющего обязанности садовника, их сына или дочь, а также Крофты, австралийскую пару, которые арендуют флигель у Эллен.	Эллен, занятая на службе как служанка, её муж, обслуживающий сад, их дитя, вместе с супругами Крофт из Австралии, являющимися арендаторами их флигеля.	Служанка Эллен, её муж, и супружеская пара Крофтов из Австралии, которым она сдаёт флигель.	Ещё у Ник есть кузен -садовник Чарлз Вайс.	Флигель сдается австралийцам, супругам Крофт, служанкой по имени Эллен и ее мужем.	Эллен, работающая служанкой, вместе со своим супругом сдает флигель австралийской семейной паре Крофтов.	К тому же, у Ника имеется кузен по имени Чарлз Вайс, который занимается садоводством.
Павлик воспринял это как предательство и целый год не разговаривал с Юрой. Тот много раз пытался помириться с ним без выяснения отношений, но Павлик этого не хотел — он презирал обходные пути, и ему не нужен был тот Юра, каким он раскрылся на уроке немецкого. Примирение произошло, когда Павлик понял, что его друг изменился. Природа дружбы иная, чем у любви. Легко любить ни за что и очень трудно — за что-нибудь. Павлик был «умственным» мальчиком, но родители не обеспечивали ему «питательной среды». Отец Павлика был часовщиком и интересовался исключительно часами. Его мать казалась женщиной, «не ведавшей, что изобретено книгопечатание», хотя её братья — химик и биолог — были крупными учёными. В семье Юры царил культ книг, и это было необходимо Павлику как воздух. С каждым годом друзья становились всё ближе друг другу. Вопрос «Кем быть?» встал перед ними гораздо раньше, чем перед их сверстниками. Ярко выраженных пристрастий у ребят не было, и они начали искать себя. Павлик решил пойти по стопам одного из своих знаменитых дядьёв. Друзья варили гуталин, не дававший обуви блеска, и красные чернила, пачкавшие всё, кроме бумаги.	Была ли у Павлика возможность саморазвития дома?	Нет, родители не давали знаний сыну.	Не было возможности дать развитие сыну.	Отсутствовали условия для развития способностей сына.	Возможностей для развития сына не предоставилось.	Не представилось шанса развить потенциал сына.	Была, но Павлик не хотел заниматься.	Да, мать была занята часами и не уделяла времени сыну.	Долгие часы занятости мешали матери проводить время с сыном.	Занятость на протяжении многих часов не позволяла матери уделять внимание сыну.	Мать, проводившая часы в занятиях, не находила времени для сына.
"""Элис Купер объявил конкурс, победители которого смогут принять участие в двух концертах музыканта. На официальном сайте Купера сообщается, что видеоролики-заявки на участие в конкурсе будут приниматься до 7 августа. Куперу нужны не музыканты, а ""исполнители развлекательных номеров и фрики"". Авторы самых удачных номеров будут приглашены на финальный тур конкурса, который состоится в Лондоне 9 августа. Жюри во главе с самим Элисом отберет исполнителей ""самых диких"" номеров. Победители смогут принять участие в двух шоу Купера, приуроченных к празднованию Хеллоуина. Концерты состоятся 31 октября и 1 ноября 2010 года на площадке The Roundhouse в Лондоне. ""В Лондоне полно фриков, и я бы хотел, чтобы люди об этом знали. К сожалению, в Великобритании Хеллоуин не так популярен, как в США. А мне бы хотелось, чтобы этот праздник стал таким же масштабным, как Рождество"", - заявил Купер. За свою почти 50-летнюю карьеру Элис Купер успел выпустить 25 студийных альбомов. Последний из них, ""Along Came a Spider"", поступил в продажу в июле 2008 года. Предполагается, что в настоящее время музыкант работает над своей очередной пластинкой, которая будет называться ""The Night Shift""."""	Что смогут сделать победители конкурса,который объявил Элис Купер?	Принять участие в двух шоу Купера.	Выступить в двух концертах музыканта.	Принять участие в паре программ, проводимых Купером.	Проявить себя на сцене в рамках двух концертов музыканта.	Участвовать в двух представлениях, организованных Купером.	Принять участие в лотерее Купера.	Принять участие в трёх шоу Купера.	Присоединиться к лотерее, организованной Купером.	Быть участником в трех телешоу, организованных Купером.	Проявить активность, участвуя в трех программ Купера.
